"url","address","capital_value","land_value","improvement_value","price","price_on","decade_built","category_type","building_construction","building_condition","num_bedrooms","bath_estimate","num_bathrooms","bed_estimate","floor_area","land_area","has_deck","contour","suburb_name","view_scope","view_type","lat","lng","distance_total_transit","distance_walking_transit","duration_transit","distance_total_driving","distance_walking_driving","duration_driving","distance_total_bicycling","distance_walking_bicycling","duration_bicycling","distance_total_supermarket","duration_supermarket"
"","<redacted>",510000,212000,311000,845500,"2017-03-08 00:00:00",1920,"house","WI","AA",NULL,1,NULL,3,110,375,0,"easy_to_moderate_fall","Lyall bay","none","none",-41.32397655933339,174.79228625717508,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",540000,182000,359000,671000,"2017-03-08 00:00:00",1950,"house","RI","AA",NULL,2,NULL,3,144,556,1,"easy_to_moderate_fall","Island bay","moderate","other",-41.334997789623415,174.780986667307,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",487000,221000,274000,642000,"2017-03-03 00:00:00",1980,"house","FT","GG",NULL,1,NULL,3,90,609,1,"level","Brooklyn","moderate","other",-41.321479852113235,174.7618778221118,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",552000,237000,328000,795000,"2017-03-03 00:00:00",1980,"house","XT","GG",NULL,2,NULL,4,166,789,1,"level","Island bay","moderate","water",-41.3476902653175,174.76058086723864,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",507000,209000,296000,734000,"2017-03-04 00:00:00",1970,"house","WI","AA",4,2,NULL,4,170,648,0,"level","Kingston",NULL,"other",-41.32593653333155,174.7722059098625,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",421000,171000,250000,513000,"2017-03-03 00:00:00",1960,"house","WT","GA",2,1,NULL,2,70,868,0,"level","Karori","none","none",-41.288866307078855,174.7340662085976,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",461000,201000,262000,673000,"2017-03-02 00:00:00",1900,"house","WI","AA",NULL,1,NULL,2,73,144,0,"level","Newtown","none","none",-41.310683080470326,174.78296171861655,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",355000,76000,282000,494000,"2017-03-08 00:00:00",2010,"house","WI","GG",3,1,NULL,3,140,435,1,"level","Brooklyn","none","none",-41.326881435546575,174.75638842406042,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",533000,188000,351000,642500,"2017-03-09 00:00:00",1910,"house","WI","AA",NULL,1,NULL,3,80,278,1,"level","Kilbirnie","none","none",-41.31519126707085,174.80212200304433,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",780000,426000,359000,1023000,"2017-03-12 00:00:00",1900,"townhouse","WI","GA",NULL,2,NULL,3,140,261,0,"level","Mount victoria","none","none",-41.29501052564827,174.7903763354913,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",915000,377000,549000,1284000,"2017-03-10 00:00:00",NULL,"house","RI","GG",NULL,2,NULL,4,200,463,1,"easy_to_moderate_rise","Roseneath",NULL,"water",-41.285958272442045,174.8016672116385,2974,296,784,2974,296,784,2974,296,784,2974,784
"","<redacted>",481000,182000,309000,727000,"2017-03-07 00:00:00",1970,"house","FI","AA",NULL,2,NULL,4,190,456,1,"steep_rise","Johnsonville","moderate","other",-41.21460456295469,174.80551587916764,11806,289,2456,11806,289,2456,11806,289,2456,11806,2456
"","<redacted>",636000,222000,422000,904000,"2017-03-11 00:00:00",1980,"house","WT","AA",4,2,0,4,230,527,0,"level","Churton park","slight","other",-41.20411582913262,174.81000839220218,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",1008000,379000,631000,1507000,"2017-03-13 00:00:00",NULL,"house","WI","GG",4,2,NULL,4,165,511,0,"level","Karori","none","none",-41.28863971359572,174.74019088552072,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",613000,325000,295000,816000,"2017-03-10 00:00:00",1920,"house","WI","GG",NULL,2,NULL,3,150,683,1,"level","Karori","none","none",-41.290728967218094,174.74064993659388,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",575000,203000,372000,725000,"2017-03-13 00:00:00",1980,"house","WI","GG",3,1,NULL,3,120,498,1,"easy_to_moderate_fall","Island bay",NULL,"water",-41.34079869638218,174.76191986883245,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",610000,235000,392000,866000,"2017-03-10 00:00:00",1900,"house","XI","GG",NULL,2,NULL,3,128,258,1,"level","Berhampore","none","none",-41.32175631487237,174.77621456789367,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"","<redacted>",575000,167000,412000,767500,"2017-03-08 00:00:00",1960,"house","WI","AA",4,2,NULL,3,125,966,1,"steep_rise","Island bay","moderate","water",-41.32610571533968,174.78103344706506,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
